,user_id,treatment_group,seats_purchased,user_purchased
0,18661343440,treatment,0,0
1,12383779858,control,3,1
2,21380921198,treatment_B,0,0
3,14932979248,control,0,0
4,21226245936,control,1,1
5,21226245936,control,1,1
6,21226245936,control,2,1
7,207399516,control,0,0
8,19356934633,treatment_B,0,0
9,17289275109,treatment,0,0
10,22142143848,treatment_B,0,0
11,23572399842,treatment_B,0,0
12,10463939701,control,0,0
13,23266183758,control,0,0
14,6048025182,treatment,0,0
15,18003875208,control,0,0
16,204161417,treatment,4,1
17,16188702608,control,0,0
18,249247890,treatment,1,1
19,14080671256,control,0,0
20,204651482,treatment_B,0,0
21,17183200014,treatment_B,0,0
22,18977066830,treatment,0,0
23,23117544716,control,0,0
24,18588406709,treatment_B,0,0
25,22533656295,control,0,0
26,19658732304,treatment,0,0
27,213814164,treatment,1,1
28,237369005,control,1,1
29,200110134,control,0,0
30,241973425,treatment_B,0,0
31,21435958631,control,1,1
32,263244394,treatment,0,0
33,23128517064,treatment_B,0,0
34,23537283106,control,0,0
35,23047999403,treatment_B,0,0
36,23651837013,control,0,0
37,23208920188,treatment,0,0
38,23502501625,treatment_B,0,0
39,2128799,treatment,0,0
40,21977364171,treatment_B,0,0
41,23411652411,treatment_B,0,0
42,1776300553,control,0,0
43,22918293926,treatment_B,0,0
44,19537183742,treatment,1,1
45,19537183742,treatment,3,1
46,18988641939,control,1,1
47,188863372,treatment_B,0,0
48,11594302696,treatment,0,0
49,15470882516,control,0,0
50,203344263,treatment,1,1
51,23191762363,treatment,0,0
52,1635056803,treatment,0,0
53,11755066,control,0,0
54,19624030460,treatment,0,0
55,238039859,treatment_B,1,1
56,18403487470,treatment_B,0,0
57,15120960518,treatment,0,0
58,12875545,control,5,1
59,20706511816,treatment_B,0,0
60,218487658,treatment,0,0
61,15665036340,treatment,0,0
62,202643363,treatment,0,0
63,9864008141,treatment_B,0,0
64,18662287297,treatment_B,0,0
65,10063035055,treatment_B,10,1
66,3113931895,treatment_B,1,1
67,21046706732,treatment_B,1,1
68,14656041387,control,0,0
69,23552388199,treatment,0,0
70,23476574970,control,0,0
71,11688962261,treatment_B,0,0
72,19991820662,treatment,0,0
73,20862187902,control,2,1
74,18709844322,treatment_B,0,0
75,23483307482,control,0,0
76,196203040,control,0,0
77,23108062000,treatment,0,0
78,19342608999,treatment,5,1
79,176838892,treatment,3,1
80,19782205593,treatment,0,0
81,16205481182,control,1,1
82,16205481182,control,1,1
83,1127947235,treatment_B,0,0
84,13894521057,control,0,0
85,10376949896,treatment,0,0
86,6540162587,treatment,0,0
87,188521954,treatment,0,0
88,14932314416,control,0,0
89,184035713,treatment_B,6,1
90,22779633682,treatment,0,0
91,218078574,treatment_B,0,0
92,8285211422,control,0,0
93,8603976367,treatment,0,0
94,19339603271,treatment_B,0,0
95,21219823314,control,0,0
96,21213341579,control,0,0
97,23107749827,treatment_B,0,0
98,258987837,treatment,0,0
99,11819981731,treatment_B,0,0
100,15976911421,treatment_B,0,0
101,463736554,treatment,0,0
102,182820243,control,1,1
103,23493482437,treatment_B,0,0
104,22944552717,treatment,0,0
105,17300495314,treatment,0,0
106,22757261418,treatment,0,0
107,283334529,treatment,4,1
108,21540917528,treatment,0,0
109,8107947477,control,0,0
110,2463983710,treatment_B,0,0
111,20045635100,control,0,0
112,17534392795,treatment,1,1
113,264734477,treatment,2,1
114,3871898718,treatment,0,0
115,14598168389,treatment,0,0
116,23085548273,control,0,0
117,15103848364,treatment_B,0,0
118,23001106440,treatment_B,0,0
119,276593857,treatment,0,0
120,3276935433,control,0,0
121,8926235269,treatment,0,0
122,846960580,treatment,0,0
123,200748335,treatment_B,0,0
124,18907184273,treatment,0,0
125,10179737349,treatment,0,0
126,6551413501,control,45,1
127,6551413501,control,5,1
128,592632645,treatment_B,1,1
129,2935403785,treatment,1,1
130,11317609486,treatment,3,1
131,12800247275,control,0,0
132,278232833,treatment,1,1
133,2866179146,treatment,0,0
134,7036460180,control,0,0
135,23266585137,control,0,0
136,6122841094,treatment_B,1,1
137,6122841094,treatment_B,1,1
138,20978494292,treatment,0,0
139,23522983284,treatment,0,0
140,252001233,control,10,1
141,236713156,control,0,0
142,11614738653,treatment_B,0,0
143,23393945557,treatment_B,0,0
144,19369753312,treatment_B,0,0
145,214058173,control,0,0
146,248454462,control,1,1
147,3009900447,treatment_B,1,1
148,3598655382,control,0,0
149,22496760020,control,0,0
150,19924994489,treatment,0,0
151,23352859291,treatment,0,0
152,18918120359,control,0,0
153,19425155264,treatment,0,0
154,869574084,treatment_B,1,1
155,21243361020,control,0,0
156,250328154,treatment,0,0
157,20073385179,control,0,0
158,13883525740,treatment_B,0,0
159,21660576065,treatment_B,0,0
160,19602854742,control,2,1
161,11137480192,control,0,0
162,979633288,treatment,0,0
163,7576737072,control,0,0
164,9575348939,treatment_B,0,0
165,12021214659,control,0,0
166,6838819666,treatment,1,1
167,8391317330,treatment,0,0
168,199403553,treatment,1,1
169,18911875513,treatment,1,1
170,13966978850,treatment,0,0
171,7161290131,treatment_B,1,1
172,7161290131,treatment_B,1,1
173,7161290131,treatment_B,1,1
174,7161290131,treatment_B,1,1
175,7161290131,treatment_B,1,1
176,7161290131,treatment_B,1,1
177,9852894433,treatment,3,1
178,197593242,treatment_B,1,1
179,197593242,treatment_B,9,1
180,197593242,treatment_B,1,1
181,197593242,treatment_B,1,1
182,13537310,control,0,0
183,6239689815,treatment,0,0
184,19576611622,treatment,0,0
185,1733125513,treatment,1,1
186,886478366,treatment_B,0,0
187,21720991649,treatment,0,0
188,16824242580,control,2,1
189,7442470203,treatment_B,50,1
190,23270326161,treatment,0,0
191,23055017582,treatment,0,0
192,3255412611,treatment,1,1
193,12526769424,treatment_B,0,0
194,18001968594,control,1,1
195,11951590504,treatment,0,0
196,17797644211,control,0,0
197,23495345069,control,0,0
198,8522679431,treatment_B,0,0
199,23252635666,control,5,1
200,23267945708,control,0,0
201,21568491132,treatment_B,1,1
202,208075984,treatment_B,0,0
203,20888436629,treatment_B,1,1
204,231802859,treatment,0,0
205,23471782063,treatment,0,0
206,1402772560,treatment_B,0,0
207,20805792406,treatment_B,0,0
208,20778214511,control,0,0
209,22259388375,control,0,0
210,19510468713,treatment,0,0
211,3442770633,treatment_B,0,0
212,22915363457,control,2,1
213,18603533705,treatment_B,0,0
214,21652563543,treatment,2,1
215,12340148272,treatment_B,1,1
216,19550794522,treatment_B,3,1
217,9077878,treatment_B,0,0
218,11750574056,treatment,1,1
219,2865777238,treatment_B,0,0
220,1005628637,control,0,0
221,13173683895,control,0,0
222,6575544,control,0,0
223,2631886910,control,0,0
224,23389642148,treatment_B,0,0
225,23264474944,treatment,0,0
226,23691905142,control,0,0
227,12690155913,treatment_B,0,0
228,217760010,control,0,0
229,176516328,treatment_B,0,0
230,22920680498,treatment,0,0
231,181211323,treatment,0,0
232,17538157081,treatment_B,6,1
233,17538157081,treatment_B,1,1
234,16813375632,control,0,0
235,1857650822,control,0,0
236,23188212738,treatment_B,0,0
237,18071064895,treatment,20,1
238,18071064895,treatment,15,1
239,16790181003,control,0,0
240,18201199619,treatment_B,1,1
241,3422897844,treatment,1,1
242,11520607190,treatment,0,0
243,11380418807,treatment_B,0,0
244,13827331464,treatment_B,0,0
245,17439714928,treatment_B,0,0
246,258873605,treatment_B,0,0
247,236846187,control,0,0
248,7754963663,control,1,1
249,16258060576,treatment,0,0
250,11274531,control,0,0
251,9460984944,control,0,0
252,23345241776,control,0,0
253,204039945,treatment_B,0,0
254,19024253992,treatment_B,0,0
255,16510552963,treatment,0,0
256,12820317833,treatment,3,1
257,21271083197,treatment,0,0
258,20817062517,treatment_B,0,0
259,19863752947,treatment,0,0
260,194928448,control,1,1
261,18494097153,treatment_B,0,0
262,200006858,treatment,1,1
263,15054470863,treatment_B,1,1
264,23227920813,treatment_B,0,0
265,23395500388,treatment_B,0,0
266,182063484,control,0,0
267,20782100289,control,0,0
268,23111400714,treatment,0,0
269,7946904238,control,0,0
270,22943614437,treatment_B,0,0
271,16744182486,treatment,0,0
272,3224684682,treatment_B,0,0
273,19238581223,treatment_B,0,0
274,16641282907,treatment,0,0
275,20354059154,treatment,10,1
276,23243931183,control,0,0
277,23571487945,control,0,0
278,23062872375,control,12,1
279,3813921612,treatment,4,1
280,8419182976,treatment_B,0,0
281,16751050442,control,0,0
282,23192043177,treatment_B,0,0
283,1758020933,treatment,0,0
284,19543089821,control,0,0
285,3746402459,treatment_B,0,0
286,226688471,treatment_B,1,1
287,226688471,treatment_B,1,1
288,204710804,treatment,0,0
289,16391697010,treatment_B,0,0
290,17948648765,treatment,0,0
291,13895318571,treatment_B,1,1
292,253042317,treatment_B,1,1
293,21223479071,control,0,0
294,17002271112,control,0,0
295,18418196383,control,2,1
296,181500507,treatment_B,0,0
297,3037813669,control,0,0
298,23192724453,treatment,0,0
299,3488380779,treatment,0,0
300,12624363641,treatment,0,0
301,22103427314,treatment_B,0,0
302,22059576396,control,0,0
303,180794303,treatment_B,0,0
304,281472209,treatment,0,0
305,23230872121,control,0,0
306,2627334286,treatment_B,0,0
307,818393068,treatment,0,0
308,10905599654,treatment_B,0,0
309,22482089109,treatment_B,2,1
310,7524838481,treatment_B,1,1
311,19246812803,treatment,1,1
312,23376148870,treatment_B,0,0
313,5609048,treatment_B,0,0
314,12066948611,control,0,0
315,7322065501,treatment_B,0,0
316,3878132599,control,0,0
317,17300761302,treatment,0,0
318,15461690875,treatment_B,0,0
319,14037365573,treatment_B,1,1
320,9225224560,treatment_B,0,0
321,23107966211,treatment_B,0,0
322,2205134798,treatment,0,0
323,14401832553,treatment,0,0
324,23498972334,treatment,3,1
325,23308512489,treatment,0,0
326,14235202062,control,0,0
327,6283642,control,0,0
328,665681421,treatment_B,9,1
329,3404096959,control,0,0
330,23411551217,treatment_B,0,0
331,640609435,control,2,1
332,19036816287,control,0,0
333,639343681,treatment_B,0,0
334,3380492078,treatment,1,1
335,3380492078,treatment,1,1
336,12879583690,treatment_B,0,0
337,253060981,control,0,0
338,23332623440,treatment,0,0
339,19054643592,control,0,0
340,210650071,treatment,0,0
341,6066691844,treatment_B,0,0
342,8113420328,control,0,0
343,19278176503,treatment,0,0
344,10651587227,treatment,3,1
345,12217089734,treatment_B,0,0
346,23647409930,control,0,0
347,6206016,treatment,1,1
348,12817905039,treatment,0,0
349,218498892,control,0,0
350,15722366423,treatment_B,0,0
351,8059613233,control,3,1
352,8059613233,control,5,1
353,8059613233,control,5,1
354,3695030391,treatment_B,0,0
355,19856437064,control,0,0
356,16735230110,treatment_B,0,0
357,185699874,treatment,0,0
358,1864115223,treatment,0,0
359,6074729341,treatment,1,1
360,6074729341,treatment,1,1
361,6249270308,treatment,0,0
362,340645700,treatment_B,0,0
363,20977589375,treatment,0,0
364,18077288210,control,0,0
365,386950669,treatment,0,0
366,23359397480,treatment_B,0,0
367,15417698131,control,0,0
368,22994871228,treatment_B,0,0
369,20362139921,control,0,0
370,23042028677,control,0,0
371,973714056,treatment,1,1
372,180367608,treatment_B,1,1
373,180367608,treatment_B,2,1
374,12392383992,treatment_B,0,0
375,23396152822,treatment,0,0
376,10443644641,treatment,0,0
377,263730990,control,0,0
378,23104819298,control,0,0
379,13179664570,treatment,0,0
380,3190765953,treatment,0,0
381,207087308,control,0,0
382,20416447697,control,0,0
383,22436448144,treatment,0,0
384,4821410,treatment_B,0,0
385,12721556589,treatment_B,1,1
386,6683616237,control,0,0
387,244071993,treatment,0,0
388,23369784993,control,0,0
389,19946815936,treatment,0,0
390,3837135977,control,1,1
391,6185982,treatment_B,7,1
392,232735611,treatment_B,0,0
393,15737063645,control,0,0
394,14422355264,treatment,0,0
395,15056617948,treatment_B,0,0
396,176953443,treatment,0,0
397,278918409,control,0,0
398,197917045,treatment_B,0,0
399,12124628318,control,0,0
400,258549841,treatment_B,1,1
401,176289872,control,0,0
402,9292717092,treatment_B,0,0
403,3506168390,treatment,0,0
404,592962799,treatment,0,0
405,10067419881,control,0,0
406,21136951403,treatment_B,0,0
407,11252934557,treatment,2,1
408,16059650375,control,0,0
409,214742177,control,0,0
410,3860578096,treatment_B,0,0
411,227025063,control,0,0
412,20258521961,treatment,5,1
413,23125673345,treatment_B,0,0
414,15198532600,control,0,0
415,21678604861,control,0,0
416,23062833772,treatment_B,0,0
417,15078538275,control,0,0
418,15097769995,treatment_B,3,1
419,23413380600,treatment,0,0
420,10117019163,treatment,0,0
421,13355014035,control,0,0
422,191831273,control,0,0
423,243237263,control,0,0
424,176683150,control,0,0
425,7227327583,treatment,1,1
426,7227327583,treatment,1,1
427,7227327583,treatment,3,1
428,7227327583,treatment,1,1
429,7227327583,treatment,1,1
430,7753152730,treatment_B,3,1
431,285325626,treatment,1,1
432,449341052,treatment,0,0
433,22239529000,treatment,0,0
434,9612822415,treatment_B,0,0
435,23264304357,treatment,0,0
436,20295521487,treatment,0,0
437,6084876019,treatment,1,1
438,12456894188,control,6,1
439,12456894188,control,1,1
440,23640036153,treatment_B,0,0
441,274274985,control,0,0
442,2910973176,treatment,0,0
443,23350565130,control,0,0
444,19654603038,treatment,0,0
445,10525710881,treatment_B,0,0
446,23440635035,treatment,0,0
447,271969393,control,0,0
448,8811324914,treatment,1,1
449,8811324914,treatment,3,1
450,8811324914,treatment,47,1
451,175885745,treatment,1,1
452,23619608225,treatment,0,0
453,22219886814,treatment_B,0,0
454,241791461,control,0,0
455,23324412925,treatment_B,0,0
456,3209875055,treatment,0,0
457,17962540040,treatment_B,2,1
458,17962540040,treatment_B,3,1
459,13883773301,control,0,0
460,18274418543,control,0,0
461,23302905639,treatment,0,0
462,948407168,treatment_B,0,0
463,750078876,treatment_B,0,0
464,18667853343,control,0,0
465,262595657,treatment_B,0,0
466,23534038281,treatment,0,0
467,20180623036,treatment,0,0
468,18819081208,treatment_B,2,1
469,242510251,treatment,0,0
470,285838470,treatment,0,0
471,15451141,control,0,0
472,13491823279,treatment_B,1,1
473,21502944209,control,1,1
474,2769439926,treatment,0,0
475,21843092390,control,0,0
476,12459809666,treatment_B,0,0
477,10414712349,treatment_B,0,0
478,13298989789,control,0,0
479,18275646437,control,1,1
480,7241441144,control,0,0
481,22221289050,treatment_B,0,0
482,22800619457,control,1,1
483,19657462983,treatment,0,0
484,3372256867,treatment_B,0,0
485,7894236325,control,5,1
486,23428685094,control,0,0
487,252802613,treatment_B,0,0
488,20224558896,treatment_B,0,0
489,2749716667,treatment,0,0
490,14226997802,treatment_B,0,0
491,17627598683,treatment,1,1
492,15297199589,treatment_B,1,1
493,23414150451,control,0,0
494,23476858266,treatment_B,0,0
495,18981478625,treatment,1,1
496,2530671859,control,0,0
497,10617416644,treatment,0,0
498,9850575465,control,0,0
499,17505082392,treatment,2,1
500,17505082392,treatment,1,1
501,17505082392,treatment,1,1
502,17505082392,treatment,1,1
503,17505082392,treatment,1,1
504,17505082392,treatment,1,1
505,17230803052,treatment_B,0,0
506,23490689799,control,0,0
507,267215865,treatment_B,0,0
508,17994897659,treatment,0,0
509,4391964,treatment,30,1
510,213800060,control,0,0
511,15242946367,control,0,0
512,13022366612,treatment_B,0,0
513,276239105,treatment,0,0
514,23497193247,control,4,1
515,23046977532,treatment,0,0
516,14015257045,treatment,0,0
517,13609043685,treatment,0,0
518,22076717265,treatment,0,0
519,15591066348,control,0,0
520,7715555432,treatment,1,1
521,10186513461,treatment_B,1,1
522,22694868477,treatment_B,0,0
523,17196130419,treatment,0,0
524,6997627359,treatment_B,0,0
525,22481592815,control,1,1
526,8711180363,treatment_B,0,0
527,23387708104,treatment_B,0,0
528,22326308035,treatment_B,0,0
529,3285707795,control,0,0
530,15224476717,treatment_B,0,0
531,1051180786,treatment_B,0,0
532,19531524177,control,0,0
533,1702617773,control,1,1
534,1702617773,control,1,1
535,209928441,control,0,0
536,18243272280,control,0,0
537,23336381112,treatment_B,0,0
538,18194159801,treatment_B,0,0
539,3955680107,treatment,0,0
540,16577046067,treatment_B,1,1
541,16577046067,treatment_B,1,1
542,22804603490,control,0,0
543,15874829576,treatment_B,0,0
544,3530231632,control,0,0
545,18893459452,treatment_B,1,1
546,238151259,treatment_B,0,0
547,10733005599,treatment,1,1
548,1273277244,treatment_B,0,0
549,8685234458,control,0,0
550,212967052,treatment,0,0
551,15628044493,treatment_B,0,0
552,23233337245,control,0,0
553,221689279,control,0,0
554,20706893700,treatment,3,1
555,23389450462,treatment,0,0
556,15856980429,control,1,1
557,18488984416,treatment_B,0,0
558,212309856,treatment,0,0
559,242409821,treatment,0,0
560,3409055063,control,0,0
561,17854290926,treatment,2,1
562,16618974901,treatment,0,0
563,23520446490,treatment,0,0
564,252607249,control,0,0
565,23330069426,control,0,0
566,214600125,control,0,0
567,8171242612,treatment_B,0,0
568,14083501803,treatment,0,0
569,13044449384,treatment,0,0
570,400182247,control,0,0
571,3277169071,treatment,3,1
572,3277169071,treatment,3,1
573,422381623,treatment,0,0
574,11623842643,treatment_B,0,0
575,19191034709,treatment,0,0
576,6573515189,control,2,1
577,6573515189,control,2,1
578,20326244173,control,0,0
579,13950172599,treatment,0,0
580,15359367461,treatment_B,0,0
581,17129907952,treatment,0,0
582,8392201840,treatment,0,0
583,22328441625,treatment,0,0
584,15591453903,treatment_B,1,1
585,22837539228,treatment_B,0,0
586,22653653710,treatment,0,0
587,280812249,treatment_B,3,1
588,280812249,treatment_B,2,1
589,18964133642,treatment_B,0,0
590,22411303877,treatment_B,0,0
591,23043684232,control,0,0
592,230346897,treatment_B,0,0
593,17366568049,treatment_B,2,1
594,17366568049,treatment_B,5,1
595,23242728754,treatment_B,0,0
596,23540597615,treatment_B,0,0
597,23229809477,treatment_B,0,0
598,19229470321,control,0,0
599,16683547267,control,24,1
600,3644273146,treatment_B,10,1
601,1957307122,control,0,0
602,22671463806,treatment_B,0,0
603,19598414549,control,0,0
604,20023925696,control,0,0
605,203650453,control,0,0
606,8696356362,treatment,1,1
607,8696356362,treatment,1,1
608,7499487670,treatment_B,0,0
609,19091568124,control,0,0
610,192814181,control,0,0
611,282684525,control,20,1
612,1138888350,treatment_B,0,0
613,23394427691,treatment,3,1
614,18191911986,control,0,0
615,19739789739,treatment_B,3,1
616,19739789739,treatment_B,20,1
617,3422963041,control,1,1
618,7143019479,treatment,1,1
619,13220212684,control,0,0
620,20112406922,treatment_B,1,1
621,6445310185,control,0,0
622,20077892631,treatment,0,0
623,23482234332,treatment_B,0,0
624,22618882675,control,0,0
625,10336898765,treatment,0,0
626,19600044317,treatment,0,0
627,22215055425,treatment,0,0
628,23053138661,treatment,3,1
629,16806487986,treatment,0,0
630,17238042990,treatment,0,0
631,23516667558,treatment,0,0
632,17042331167,treatment,1,1
633,21518362748,control,5,1
634,14381839631,control,0,0
635,1180919864,treatment_B,0,0
636,3802836895,control,0,0
637,206270202,treatment_B,0,0
638,242238389,treatment_B,1,1
639,22686400925,treatment_B,0,0
640,10568565743,treatment_B,0,0
641,6585410,control,1,1
642,17052599306,control,0,0
643,240329241,control,1,1
644,15941402152,control,0,0
645,15054286516,control,1,1
646,23093940081,treatment,0,0
647,6352746850,treatment,0,0
648,3383963113,treatment_B,0,0
649,15001834527,treatment,0,0
650,12660980034,control,0,0
651,7076514379,treatment_B,0,0
652,23084928732,control,0,0
653,18812700515,treatment_B,0,0
654,21021848221,treatment,0,0
655,21440801855,treatment,0,0
656,22381570359,control,50,1
657,22381570359,control,1,1
658,22381570359,control,1,1
659,22408351549,treatment_B,1,1
660,3046515402,treatment,3,1
661,9160629817,control,0,0
662,239307234,control,0,0
663,23644409280,treatment_B,0,0
664,778076477,control,1,1
665,211171877,control,0,0
666,17807179191,treatment_B,0,0
667,809835873,treatment,1,1
668,263984165,control,0,0
669,21510713327,treatment_B,1,1
670,17009310554,treatment,2,1
671,15063578903,control,5,1
672,11026728334,treatment_B,0,0
673,23229487711,treatment_B,0,0
674,19106127330,treatment_B,1,1
675,15583077452,treatment,0,0
676,22949029115,treatment_B,0,0
677,23043560363,treatment,0,0
678,12684820332,treatment,0,0
679,23374748031,treatment_B,0,0
680,195949782,treatment,0,0
681,8777420669,treatment,0,0
682,5609028,treatment_B,0,0
683,7715899974,control,0,0
684,11195059,treatment_B,1,1
685,23233277833,control,0,0
686,15298400154,control,1,1
687,22985074135,treatment,1,1
688,22985074135,treatment,1,1
689,7017529186,treatment,0,0
690,201835361,treatment,0,0
691,213842554,treatment,1,1
692,213842554,treatment,5,1
693,15335382642,control,0,0
694,232491843,treatment,0,0
695,205650183,treatment_B,0,0
696,23413493302,control,0,0
697,23533740038,control,0,0
698,18792595384,treatment,3,1
699,266595225,treatment_B,1,1
700,13682396744,treatment,0,0
701,18017546675,treatment,0,0
702,3624850274,control,0,0
703,15915108479,treatment,0,0
704,215157615,treatment_B,0,0
705,12347075399,control,0,0
706,18964298965,treatment,0,0
707,1672972314,treatment,1,1
708,5981340,treatment,0,0
709,217575540,control,0,0
710,12384831422,control,0,0
711,17411313528,treatment,0,0
712,21710549230,treatment_B,6,1
713,21710549230,treatment_B,1,1
714,17229588053,control,0,0
715,16674872715,control,0,0
716,192561844,treatment_B,0,0
717,228640141,treatment_B,0,0
718,7571287395,treatment_B,0,0
719,16925909322,control,0,0
720,19739046538,control,0,0
721,220219929,treatment_B,0,0
722,233954054,treatment_B,0,0
723,17948354858,treatment_B,0,0
724,23053090546,treatment_B,0,0
725,23331881550,treatment,0,0
726,200414399,treatment,3,1
727,18629137213,control,0,0
728,18802010499,treatment_B,14,1
729,16069216161,treatment_B,0,0
730,251676317,treatment_B,1,1
731,229888095,control,5,1
732,229888095,control,5,1
733,23519698009,treatment_B,0,0
734,15782167334,treatment,1,1
735,15782167334,treatment,1,1
736,269671550,treatment,0,0
737,175714109,control,0,0
738,23394103993,treatment,0,0
739,11373533910,treatment,0,0
740,21061366005,treatment,0,0
741,17698419803,treatment,0,0
742,18800921685,treatment,3,1
743,18800921685,treatment,1,1
744,18741559063,treatment_B,0,0
745,972057479,treatment,0,0
746,282618417,control,0,0
747,201849099,treatment,3,1
748,19790627557,control,0,0
749,12321978119,treatment,0,0
750,20134123571,control,0,0
751,23394259815,treatment,0,0
752,16035018,treatment,0,0
753,10067158558,treatment_B,0,0
754,2883297234,treatment,0,0
755,7385565337,control,0,0
756,17795653671,treatment_B,2,1
757,17795653671,treatment_B,1,1
758,17795653671,treatment_B,1,1
759,17795653671,treatment_B,3,1
760,7686921855,treatment_B,0,0
761,264610517,treatment_B,0,0
762,18872276085,control,0,0
763,188526580,treatment_B,0,0
764,232606027,treatment_B,0,0
765,11754149259,treatment_B,0,0
766,20004320603,treatment_B,0,0
767,530538307,control,0,0
768,1720153363,treatment,0,0
769,17932761627,treatment,0,0
770,7204616693,treatment_B,0,0
771,19814120007,control,0,0
772,23120264303,control,0,0
773,9400354,treatment_B,0,0
